edan_id	title	barcode	specimen_guid	media_count	media_guid	ids_id	USNM Number	Other Numbers	stain_status
edanmdm-nmnhbotany_2127109	Solanum mandonis var. tardecalvescens Bitter	00027667	http://n2t.net/ark:/65665/3c8c648e2-900b-45bc-8883-fc642c7a1eed	1.0	http://n2t.net/ark:/65665/m3933b255f-9697-4ab7-91dd-7cb4ff98762c	NMNH-00027667	2757408	fiche number : 0765/E10	stained
edanmdm-nmnhbotany_2124292	Passiflora quadriflora Killip	00036867	http://n2t.net/ark:/65665/3e2440bdd-00af-4e1b-9c5a-03da9d7d4195	1.0	http://n2t.net/ark:/65665/m34254ecfc-261e-4b40-9d9f-329c4e6fdcb3	NMNH-00036867-000001	1192862	fiche number : 0570/B11	unstained
edanmdm-nmnhbotany_2158926	Heliconia laufao W.J. Kress	00288538	http://n2t.net/ark:/65665/3febb18b4-6ed7-49c6-b860-2b913d3c324b	1.0	http://n2t.net/ark:/65665/m3705ab0b3-0e61-45b1-a072-b45846086c71	NMNH-00288538-000001	3118502	Multi-sheeted specimen : Sheet 02 of 03	unstained
edanmdm-nmnhbotany_10266209	Brongniartia trifoliata Brandegee	01108085	http://n2t.net/ark:/65665/3aaed9708-c4cb-4b0f-b577-3691acfe336e	1.0	http://n2t.net/ark:/65665/m3d891a0f3-8307-4dd4-bc06-5f6ff7047505	NMNH-01108085	873661		unstained
edanmdm-nmnhbotany_2105196	Aglaia monophylla G. Perkins	00345093	http://n2t.net/ark:/65665/319a33f50-1f30-4012-a319-64beb5bdf6c0	1.0	http://n2t.net/ark:/65665/m35f1fc031-a157-4fe1-af5f-11388ed91b2d	NMNH-00345093	445120	fiche number : 0455/E04	unstained
edanmdm-nmnhbotany_10057809	Aristolochia cortinata Reinecke	00829367	http://n2t.net/ark:/65665/371a26aad-366f-46a4-8621-db15443e8321	1.0	http://n2t.net/ark:/65665/m3e9a2b670-a9cf-49f8-be77-bf0e6947ae21	NMNH-00829367	68715		stained
edanmdm-nmnhbotany_10062672	Lindenbergia philippensis (Cham. & Schltdl.) Benth.	00830050	http://n2t.net/ark:/65665/338327421-7347-4c13-b672-182e5b8486e4	1.0	http://n2t.net/ark:/65665/m33f4d5a71-79e4-4ad6-8032-bffdd0114de8	NMNH-00830050	40731		stained
edanmdm-nmnhbotany_12529181	Polypodium glycyrrhiza D.C. Eaton	01594647	http://n2t.net/ark:/65665/317090775-3c20-4e2a-a5cd-de6c8244bcb5	1.0	http://n2t.net/ark:/65665/m3e3b4785f-d373-42d9-b3e5-470351a5cd6e	NMNH-01594647			stained
edanmdm-nmnhbotany_2152940	Canthium barbatum var. raivavaense Fosberg	00138299	http://n2t.net/ark:/65665/304750e9e-f760-4e4d-915b-ef68e85121a2	1.0	http://n2t.net/ark:/65665/m385d43dea-9c05-4e8b-ac5d-520a54a443f4	NMNH-00138299-000001	1992775	fiche number : 0841/C07	unstained
edanmdm-nmnhbotany_2109007	Columnea sulcata L.E. Skog & L.P. Kvist	00224314	http://n2t.net/ark:/65665/3eac677bc-6b3a-41b3-9567-5a6514ddfde0	1.0	http://n2t.net/ark:/65665/m3a24a47ab-ab89-4967-8342-505c5806c602	NMNH-00224314-000001	1853881		unstained
edanmdm-nmnhbotany_2115643	Cecropia reticulata f. alboreticulata Cuatrec.	00090467	http://n2t.net/ark:/65665/3966efd11-c15b-4b54-9f49-71a55f60d660	1.0	http://n2t.net/ark:/65665/m31e1f6df2-e061-48ea-b320-0feb613dd6d4	NMNH-00090467-000001	2220969	fiche number : 0219/E03	unstained
edanmdm-nmnhbotany_2115893	Agave anomala Trel.	00092114	http://n2t.net/ark:/65665/39dbb39f9-1863-4e48-915f-2089c32b70a7	1.0	http://n2t.net/ark:/65665/m3201f15c9-63f2-49db-8cea-fa2efaf36abf	NMNH-00092114-000001	696185	fiche number : 0132/E05	unstained
edanmdm-nmnhbotany_2076174	Euphorbia megalantha Boiss.	00095363	http://n2t.net/ark:/65665/3dc7feb99-b92f-46a4-a22d-37301720f71d	1.0	http://n2t.net/ark:/65665/m3b8569a22-e78e-45fe-9430-507910f17cfc	NMNH-00095363	2495299	fiche number : 0496/C06	unstained
edanmdm-nmnhbotany_2110363	Tapirira mexicana Marchand	00095689	http://n2t.net/ark:/65665/3140541f2-205a-4d6f-b5b3-b3415e635767	1.0	http://n2t.net/ark:/65665/m3c573cdc3-1356-47b6-8aac-1fd69426ed29	NMNH-00095689-000001	15517	fiche number : 0500/A02	stained
edanmdm-nmnhbotany_2118851	Philadelphus mearnsii W.H. Evans	00096952	http://n2t.net/ark:/65665/33904fb1e-8248-4d37-a060-d987d0652589	1.0	http://n2t.net/ark:/65665/m320aa3ab1-953b-4ea7-9047-de655a39a288	NMNH-00096952-000001	19135	fiche number : 0326/A01	stained
edanmdm-nmnhbotany_2097532	Ribes irriguum Douglas	00097118	http://n2t.net/ark:/65665/3e8c88b5f-b85f-4421-8893-9838eec388a3	1.0	http://n2t.net/ark:/65665/m39d7fe050-ce4a-463d-9cae-fc518726663e	NMNH-00097118	394282		unstained
edanmdm-nmnhbotany_2148809	Nototriche sarmentosa A.W. Hill	00098190	http://n2t.net/ark:/65665/3b0816565-7c83-476c-ab02-666b32430006	1.0	http://n2t.net/ark:/65665/m39cf76e1b-1f3c-48b2-8534-56db6fc5906a	NMNH-00098190	1474256	fiche number : 0534/D10	unstained
edanmdm-nmnhbotany_2149781	Sida lepidota A. Gray	00098225	http://n2t.net/ark:/65665/3b5ffd36f-a564-47b5-b54c-89f1549a063a	1.0	http://n2t.net/ark:/65665/m3a71dce90-d36a-44b9-80db-d287c48bdb1f	NMNH-00098225-000001	12159	fiche number : 0535/B10	stained
edanmdm-nmnhbotany_2151235	Lesquerella rectipes Wooton & Standl.	00100142	http://n2t.net/ark:/65665/3a7167805-030a-43d0-8993-7240af786eb1	1.0	http://n2t.net/ark:/65665/m392873642-deb6-4c26-9baa-17c4769e4705	NMNH-00100142-000001	4799	fiche number : 0309/D10	stained
edanmdm-nmnhbotany_2130823	Balbisia integrifolia R. Knuth in Engl.	00100924	http://n2t.net/ark:/65665/361666fd0-74cf-4c70-b723-fe71c6c47a2f	1.0	http://n2t.net/ark:/65665/m3eab85ad6-b50e-476a-8101-a30893d8f714	NMNH-00100924-000001	1473167	fiche number : 0435/E06	unstained
edanmdm-nmnhbotany_10077975	Gomphrena caespitosa Torr. in Emory	00102778	http://n2t.net/ark:/65665/3ac884f02-efc6-47dc-b7e6-75aa7b764be0	1.0	http://n2t.net/ark:/65665/m380c2e1a7-2e1b-4afb-9b6d-6190dac2d82a	NMNH-00102778-000001	48455	fiche number : 0254/A11	stained
edanmdm-nmnhbotany_2140830	Pentacrophys wrightii A. Gray	00102872	http://n2t.net/ark:/65665/3cbe6d984-54fa-4c85-92ba-e70b011bc578	1.0	http://n2t.net/ark:/65665/m3cb8e307e-809b-4336-a20a-ef4e7a578e17	NMNH-00102872-000001	22998	fiche number : 0255/D10	stained
edanmdm-nmnhbotany_2146045	Pisonia helleri Standl.	00103051	http://n2t.net/ark:/65665/38f1df8ff-6eec-4eff-8868-788355ec9617	1.0	http://n2t.net/ark:/65665/m32bb8c378-20b0-495d-bc12-747a935a10da	NMNH-00103051-000001	426204	fiche number : 0258/D06	unstained
edanmdm-nmnhbotany_2082975	Portulaca macbridei D. Legrand	00103196	http://n2t.net/ark:/65665/30fe7c43b-bcbf-41cb-9444-7d5ce2dde766	1.0	http://n2t.net/ark:/65665/m3d70403ce-f763-43cf-b87f-707f16017a36	NMNH-00103196-000001	1540336	fiche number : 0261/D04	unstained
edanmdm-nmnhbotany_2168086	Salix brachycarpa var. mexiae C.R. Ball	00105084	http://n2t.net/ark:/65665/331b8602c-e747-47ef-8810-57cbdd633d06	1.0	http://n2t.net/ark:/65665/m3b67b4878-7f2c-474a-8445-375fe72b0c6d	NMNH-00105084-000001	2441275	fiche number : 0196/E06	unstained
edanmdm-nmnhbotany_2157158	Aristolochia asclepiadifolia Brandegee	00105818	http://n2t.net/ark:/65665/3e5828d8c-cc92-4743-a1a5-8fa4126bb412	1.0	http://n2t.net/ark:/65665/m3020c0305-1be0-4097-8801-c02ca828b038	NMNH-00105818-000001	567601	fiche number : 0235/E10	unstained
edanmdm-nmnhbotany_2790933	Eriogonum polyanthum Benth. in DC.	00106196	http://n2t.net/ark:/65665/30fba4454-103b-43bc-990a-e8ecb66a646e	1.0	http://n2t.net/ark:/65665/m3f1f5ea89-0533-4b40-a97d-c350f1c10baf	NMNH-00106196-000001	55885	fiche number : 0242/C03	stained
edanmdm-nmnhbotany_2122973	Prunus obtusata Koehne in Sarg.	00107974	http://n2t.net/ark:/65665/325eaba89-2756-4405-b722-0b7603775faa	1.0	http://n2t.net/ark:/65665/m35fa2b4f7-1c35-4efa-8696-758f428a014e	NMNH-00107974-000001	598329	fiche number : 0349/E05	unstained
edanmdm-nmnhbotany_2109955	Tetrapterys chloroptera Cuatrec.	00108511	http://n2t.net/ark:/65665/31bbe8ab2-90fa-4e28-ad3e-1c328021e255	1.0	http://n2t.net/ark:/65665/m33d390a8b-6dd0-4d4e-89f1-a86c6da12181	NMNH-00108511-000001	1795304	fiche number : 0460/B08	unstained
edanmdm-nmnhbotany_2129697	Monnina chanduyensis Chodat	00109092	http://n2t.net/ark:/65665/35e32bd92-752f-495d-a240-38b6f6bef14e	1.0	http://n2t.net/ark:/65665/m3f6b65551-dcb4-4008-a00e-bd87e41f625e	NMNH-00109092-000001	1802975		unstained
edanmdm-nmnhbotany_2110321	Euphorbia aliceae A. Nelson	00109282	http://n2t.net/ark:/65665/3a36b8df9-afe0-414f-9bc9-b9d6037ec128	1.0	http://n2t.net/ark:/65665/m32903249e-0f61-4b1a-b451-6e8a21bda443	NMNH-00109282-000001	285533	fiche number : 0494/B01	unstained
edanmdm-nmnhbotany_2160639	Cordia chepensis Pittier	00110638	http://n2t.net/ark:/65665/37d3d8bdf-e90f-4b16-9cce-36b89f042e10	1.0	http://n2t.net/ark:/65665/m3d4fa5b26-e184-4698-ae15-8f56281281e9	NMNH-00110638	679672	fiche number : 0723/C10	unstained
edanmdm-nmnhbotany_2140450	Asclepias quinquedentata A. Gray	00112235	http://n2t.net/ark:/65665/36831a51e-6a55-4200-a886-c8fc68e93070	1.0	http://n2t.net/ark:/65665/m363f05128-727b-49dd-a1f2-66930fd1e502	NMNH-00112235-000001	18637	fiche number : 0705/D07	stained
edanmdm-nmnhbotany_2164000	Diospyros calcicola Merr.	00113418	http://n2t.net/ark:/65665/339fb5f1e-a77e-4bfd-a725-732f30e062d1	1.0	http://n2t.net/ark:/65665/m3de96adb5-c26c-40ac-b322-100318d16e81	NMNH-00113418-000001	1261829	fiche number : 0681/D10	unstained
edanmdm-nmnhbotany_2098692	Acanthorhipsalis paranganiensis Cárdenas	00115510	http://n2t.net/ark:/65665/36426d460-7db2-4536-b457-1cf3af00ecbd	1.0	http://n2t.net/ark:/65665/m36eeeb5e3-f294-44c6-96f2-d8187c44e837	NMNH-00115510	2342655	fiche number : 0577/C08	unstained
edanmdm-nmnhbotany_2077150	Crepis occidentalis var. costata A. Gray	00119662	http://n2t.net/ark:/65665/3d982d734-d9e8-4260-a2ec-fb684a8a5940	1.0	http://n2t.net/ark:/65665/m365802d60-7986-42fc-a1b1-7b5927ad5c2f	NMNH-00119662	43995	fiche number : 0983/E06	stained
edanmdm-nmnhbotany_2083883	Sanicula nevadensis S. Watson	00126975	http://n2t.net/ark:/65665/31964266b-6dec-43cc-8b2b-b986d35dcfcf	1.0	http://n2t.net/ark:/65665/m3e48d83da-25c8-43e2-83fc-33747aa36c7e	NMNH-00126975	57902	fiche number : 0645/E03	stained
edanmdm-nmnhbotany_2167542	Mirasolia diversifolia Hemsl.	00128796	http://n2t.net/ark:/65665/3a279899d-915f-4433-aba8-9d58f8e1bda2	1.0	http://n2t.net/ark:/65665/m31f2a9a3c-493f-430b-ae6d-0ae6e55bf118	NMNH-00128796	42401	fiche number : 0935/A03	stained
edanmdm-nmnhbotany_2147800	Eupatorium moritense Aristeg.	00130435	http://n2t.net/ark:/65665/3f656a8fe-324c-4611-bc3e-eb9cf25c6c61	1.0	http://n2t.net/ark:/65665/m3a9acca69-c609-437b-bd04-5bb56dcdeafd	NMNH-00130435-000001	2597184	fiche number : 0885/E09	unstained
edanmdm-nmnhbotany_2136608	Mertensia glabra Brack. in Wilkes	00134643	http://n2t.net/ark:/65665/37e293c13-b87f-40b2-b88f-2fd0545e288a	1.0	http://n2t.net/ark:/65665/m3ffae5b2c-b445-4f61-8d62-335266921087	NMNH-00134643-000001	62556	fiche number : 1040/C01	stained
edanmdm-nmnhbotany_10193558	Astragalus cinereus Turcz., nom. illeg.	00603794	http://n2t.net/ark:/65665/33d8a0af1-d045-4d9c-9d17-224d0c228df0	1.0	http://n2t.net/ark:/65665/m3925d4df3-24ba-4af1-89a8-81b5983ca534	NMNH-00603794-000001	137942		stained
edanmdm-nmnhbotany_2101022	Ageratum littorale var. hondurense B.L. Rob.	00145864	http://n2t.net/ark:/65665/323579362-8df2-4f14-8025-cb9d6482cee0	1.0	http://n2t.net/ark:/65665/m3e2188305-8da2-48c4-a5f8-cd89609870a5	NMNH-00145864	46384	fiche number : 0889/E09	unstained
edanmdm-nmnhbotany_2873292	Pandanus tectorius Parkinson ex DuRoi	00991276	http://n2t.net/ark:/65665/354747706-4917-4812-8e00-f0db137120d2	1.0	http://n2t.net/ark:/65665/m340527605-a22c-4c0a-923c-3850c9817661	NMNH-00991276	98450		stained
edanmdm-nmnhbotany_2126605	Sporobolus platensis Parodi	00141540	http://n2t.net/ark:/65665/3480e01d7-8857-4fb0-b92c-e7245cd76a68	1.0	http://n2t.net/ark:/65665/m393cc14d1-d927-40c7-8e82-455e6ad8be1b	NMNH-00141540-000001	1388644	fiche number : 0062/D11	unstained
edanmdm-nmnhbotany_2143448	Panicum capillarioides Vasey in J.M. Coult.	00133129	http://n2t.net/ark:/65665/3dc0f597e-86bd-45a3-ad34-ca079d11783d	1.0	http://n2t.net/ark:/65665/m383fabdd4-69d7-4a5c-b9a8-7b2a1fc2dca1	NMNH-00133129-000001	76925	fiche number : 0042/D12	unstained
edanmdm-nmnhbotany_10081279	Anthephora hochstetteri Nees ex Hochst.	00901944	http://n2t.net/ark:/65665/3430bee2b-61ba-4113-8ea5-84c65d823191	1.0	http://n2t.net/ark:/65665/m34b492c39-77b3-44f7-ad26-51543ee63e2f	NMNH-00901944	732986		stained
edanmdm-nmnhbotany_10082233	Brachiaria verdickii Robyns	00902263	http://n2t.net/ark:/65665/3907a4bc7-ae27-417e-9ef9-c60a9eb69b38	1.0	http://n2t.net/ark:/65665/m38c6d3c8d-cdf4-4d53-954a-82ca4cb7ee50	NMNH-00902263-000001	1538744		unstained
edanmdm-nmnhbotany_10054897	Festuca microstachys Nutt.	01074549	http://n2t.net/ark:/65665/395122157-459b-49d2-b3f8-937fc8c46964	1.0	http://n2t.net/ark:/65665/m3c9295ced-75ba-43dd-a8d7-71bd5ef29ed3	NMNH-01074549	949298		stained
edanmdm-nmnhbotany_2149556	Symplocos crassulacea B. Ståhl	00512730	http://n2t.net/ark:/65665/367ef024f-298a-4362-b724-4d1a28692e84	1.0	http://n2t.net/ark:/65665/m35d97daf8-8986-4995-9782-39b1b6fc9fa2	NMNH-00512730	1351091		unstained
edanmdm-nmnhbotany_2120154	Elatostema whitfordii Merr.	00516631	http://n2t.net/ark:/65665/3629ca8a1-dde5-449c-be00-016e6820b5b9	1.0	http://n2t.net/ark:/65665/m368e6e9f0-a8e4-4a3a-99c7-cd5c9b43e7d3	NMNH-00516631-000001	449941		unstained
edanmdm-nmnhbotany_2077760	Viscum schimperi Engl.	00623640	http://n2t.net/ark:/65665/372b76eec-1935-4e7a-bd5e-16ad738cac76	1.0	http://n2t.net/ark:/65665/m3c7ec6d3f-113d-430f-b801-afd15b98b995	NMNH-00623640	945314		unstained
edanmdm-nmnhbotany_10056670	Homalanthus populifolius Graham	00991446	http://n2t.net/ark:/65665/35e8c20fd-223e-45d7-b4ca-5fc6356f3be1	1.0	http://n2t.net/ark:/65665/m3852144ab-1889-4795-8eca-eeb67f65c800	NMNH-00991446	98633		stained
edanmdm-nmnhbotany_12158416	Selaginella helvetica (L.) Spring	01392309	http://n2t.net/ark:/65665/3eaef043e-6098-41e4-98bb-8d98db899595	1.0	http://n2t.net/ark:/65665/m318e8d0d3-3a4b-49ef-9267-b6b4ea1eaee2	NMNH-01392309			stained
edanmdm-nmnhbotany_2113590	Chorizanthe perfoliata A. Gray	00624349	http://n2t.net/ark:/65665/38422e825-9622-4455-8e24-62ae11d95105	1.0	http://n2t.net/ark:/65665/m33fac6b85-83ee-4e4a-9ec6-423573c4f343	NMNH-00624349-000001	57179		stained
edanmdm-nmnhbotany_2136089	Stigmaphyllon lindenianum var. nicaraguense Nied.	00432513	http://n2t.net/ark:/65665/3871c731b-fb29-437c-bdab-ea3356d2ca08	1.0	http://n2t.net/ark:/65665/m37d9674a0-e9ad-4e7b-a193-88b5e2b9326d	NMNH-00432513-000001	14027		stained
edanmdm-nmnhbotany_2116375	Trifolium subcaulescens A. Gray in Ives	00003534	http://n2t.net/ark:/65665/3cf69b067-48e7-4659-a82a-3a65b4386d19	1.0	http://n2t.net/ark:/65665/m34f1036e4-67c9-4696-888f-f846de990295	NMNH-00003534-000001	22023	fiche number : 0398/E05	stained
edanmdm-nmnhbotany_2084912	Astragalus naftabensis Sirj. & Rech. f.	00004214	http://n2t.net/ark:/65665/3f92dbf46-a781-4626-8820-d68b2bdb1f68	1.0	http://n2t.net/ark:/65665/m34f7ef757-83fc-49f7-b45c-1c3acf4e3604	NMNH-00004214	2315887	fiche number : 0411/D11	unstained
edanmdm-nmnhbotany_2140052	Athenaea affinis C.V. Morton	00027304	http://n2t.net/ark:/65665/34f1f177b-c024-41c5-9f2f-7cceb0a61555	1.0	http://n2t.net/ark:/65665/m3a947677d-3843-48bd-be11-8238b8b58d2a	NMNH-00027304-000001	1688341	Multi-sheeted specimen : Sheet 01 of 02	unstained
edanmdm-nmnhbotany_2095313	Drynaria coadunata Brack. in Wilkes	00067506	http://n2t.net/ark:/65665/3ebb01154-2cb9-432b-8f33-d9ffd2c05beb	1.0	http://n2t.net/ark:/65665/m351cc54bd-46fe-4882-9093-f27cd36c6bf0	NMNH-00067506	62574	fiche number : 1054/C09	stained
edanmdm-nmnhbotany_2079974	Pectis stenophylla var. gentryi D.J. Keil	00289087	http://n2t.net/ark:/65665/30f8aa2ab-307c-4a30-b5d1-e55659c4bd5f	1.0	http://n2t.net/ark:/65665/m385560fe8-9428-4f0c-8dea-86cb50cd6f5e	NMNH-00289087	1945263		unstained
edanmdm-nmnhbotany_2138750	Dianthus sulcatus Boiss.	00289266	http://n2t.net/ark:/65665/35974aa5c-bac6-422e-9296-243dacf52770	1.0	http://n2t.net/ark:/65665/m399e1ead3-b61e-4a40-813e-335a625596fd	NMNH-00289266-000001	128680		unstained
edanmdm-nmnhbotany_10062701	Orthocarpus hispidus Benth.	00830082	http://n2t.net/ark:/65665/3b9592599-6411-4812-b741-7aefe5c824e2	1.0	http://n2t.net/ark:/65665/m34ed6893e-7516-4a79-a73c-b31f285f7ece	NMNH-00830082	95364		stained
edanmdm-nmnhbotany_2191799	Selaginella rupestris (L.) Spring	00248055	http://n2t.net/ark:/65665/332020b0f-df8e-40cb-9676-933bef852e14	1.0	http://n2t.net/ark:/65665/m39ad72eff-8d52-49dd-b835-d4b45dddab6e	NMNH-00248055	834919		unstained
edanmdm-nmnhbotany_2195698	Chamaenerion angustifolium subsp. circumvagum (Mosquin) Moldenke	00403949	http://n2t.net/ark:/65665/3c8515173-ffc6-4841-a704-57ed815eda34	1.0	http://n2t.net/ark:/65665/m3736736b3-9b55-43f7-83ae-10cdb69f4b02	NMNH-00403949	2164565		unstained
edanmdm-nmnhbotany_2109689	Cousinia arctoides Schrenk	00604077	http://n2t.net/ark:/65665/3c89a017c-c23e-4fa0-bb60-78a2042f1093	1.0	http://n2t.net/ark:/65665/m36bce747b-87ba-4b90-84f4-2e4dda977530	NMNH-00604077-000001	91791		stained
edanmdm-nmnhbotany_2221043	Chamaenerion angustifolium subsp. circumvagum (Mosquin) Moldenke	00403951	http://n2t.net/ark:/65665/32fca0b5b-1b4f-4b81-bf79-5bae6b27cf6f	1.0	http://n2t.net/ark:/65665/m34a41d43a-e1ff-4b1b-b068-0e499bbd7325	NMNH-00403951	643084		unstained
edanmdm-nmnhbotany_10081340	Polycardia libera O. Hoffm.	00901967	http://n2t.net/ark:/65665/372e3062d-181a-435a-a71c-2b93e8bf3261	1.0	http://n2t.net/ark:/65665/m3140bcb38-287f-4a9f-a453-dc47525998ef	NMNH-00901967-000001	808348		unstained
edanmdm-nmnhbotany_2092971	Plantago princeps var. hirtella A. Gray	00463783	http://n2t.net/ark:/65665/338d83612-8b4e-4b9d-82e4-061c90e5bcb9	1.0	http://n2t.net/ark:/65665/m38f68a876-b8e9-44c9-95bc-0f8b89d3cb7a	NMNH-00463783	76799		stained
edanmdm-nmnhbotany_2094659	Juglans insularis Griseb.	00089297	http://n2t.net/ark:/65665/3c93d33bd-502e-4bb7-89ee-348ce0743a06	1.0	http://n2t.net/ark:/65665/m3aaba1c42-f62e-4225-a3fb-0307ffc42948	NMNH-00089297	62892	fiche number : 0200/B12	stained
edanmdm-nmnhbotany_2149513	Myristica farquhariana var. major King	00098940	http://n2t.net/ark:/65665/3ff31a108-9cf4-4461-a6e7-9976652e1afc	1.0	http://n2t.net/ark:/65665/m392564a0c-2cbd-4e04-9dc1-568d5f356427	NMNH-00098940-000001	274827		stained
edanmdm-nmnhbotany_2086049	Stixis hookeri Pierre	00100605	http://n2t.net/ark:/65665/3188b4875-c71d-4dae-9c0a-bb9ea608dc82	1.0	http://n2t.net/ark:/65665/m316f413c9-a3cd-4836-8223-f094d999f1e1	NMNH-00100605	1757920	fiche number : 0318/A03	unstained
edanmdm-nmnhbotany_2089571	Sedum yunnanense var. papillocarpum Fröd.	00100782	http://n2t.net/ark:/65665/35b0eaa0f-1665-43e9-8139-76a5ed4ad770	1.0	http://n2t.net/ark:/65665/m36f909e91-4b8a-4b01-bd42-9e28384a0a4c	NMNH-00100782	776718	fiche number : 0321/B01	unstained
edanmdm-nmnhbotany_2118113	Drymaria axillaris Brandegee	00103330	http://n2t.net/ark:/65665/35a154e9f-dca5-4e37-b639-b00d393fd5c0	1.0	http://n2t.net/ark:/65665/m394ab56d7-0d12-458b-af46-ad46e43e39c2	NMNH-00103330-000001	841897	fiche number : 0264/A05	unstained
edanmdm-nmnhbotany_2120579	Eriogonum flavum var. aquilinum Reveal in Hultén	00106052	http://n2t.net/ark:/65665/316e91c3e-5d72-47e3-af2d-e28e7507a63b	1.0	http://n2t.net/ark:/65665/m3e705eb62-dea2-4e07-8e78-0d6d03682469	NMNH-00106052-000001	2387868	fiche number : 0240/A11	unstained
edanmdm-nmnhbotany_2092791	Piper vicinum Trel.	00107664	http://n2t.net/ark:/65665/3fb5b8cde-86e2-41d4-88f9-2985de696cf5	1.0	http://n2t.net/ark:/65665/m31949bec6-ec90-479a-824e-312ae4cbda58	NMNH-00107664	577145	fiche number : 0183/C04	unstained
edanmdm-nmnhbotany_2083967	Piper yzabalanum C. DC.	00107690	http://n2t.net/ark:/65665/390392d37-6e5b-4318-a625-2ada277815c2	1.0	http://n2t.net/ark:/65665/m33e73da8f-5e6a-4b18-96cd-c04a14924243	NMNH-00107690-000001	798236	fiche number : 0184/A01	unstained
